Timestamp,bp_discharge,bp_discharge+1,bp_discharge+2,bp_discharge+3,bp_discharge+4,bp_discharge+5,bp_discharge+6,bp_discharge+7,bp_discharge+8,bp_discharge+9,bp_discharge+10,bp_discharge+11,bp_discharge+12,bp_discharge+13,bp_discharge+14,bp_discharge+15,bp_discharge+16,bp_discharge+17,bp_discharge+18,bp_discharge+19,bp_discharge+20,bp_discharge+21,bp_discharge+22,bp_discharge+23,bp_discharge+24,bp_discharge+25,bp_discharge+26,bp_discharge+27,bp_discharge+28,bp_discharge+29,bp_discharge+30,bp_discharge+31,bp_discharge+32,bp_discharge+33,bp_discharge+34,bp_discharge+35,bp_discharge+36,bp_discharge+37,bp_discharge+38,bp_discharge+39
8/4/2014,0.066,0.086,0.088,0.067,0.063,0.11,0.165,0.088,0.079,0.076,0.068,0.062,0.058,0.057,0.052,0.048,0.047,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042
8/5/2014,0.086,0.088,0.067,0.063,0.11,0.165,0.088,0.079,0.076,0.068,0.062,0.058,0.057,0.052,0.048,0.047,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045
8/6/2014,0.088,0.067,0.063,0.11,0.165,0.088,0.079,0.076,0.068,0.062,0.058,0.057,0.052,0.048,0.047,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044
8/7/2014,0.067,0.063,0.11,0.165,0.088,0.079,0.076,0.068,0.062,0.058,0.057,0.052,0.048,0.047,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043
8/8/2014,0.063,0.11,0.165,0.088,0.079,0.076,0.068,0.062,0.058,0.057,0.052,0.048,0.047,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041
8/9/2014,0.11,0.165,0.088,0.079,0.076,0.068,0.062,0.058,0.057,0.052,0.048,0.047,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041
8/10/2014,0.165,0.088,0.079,0.076,0.068,0.062,0.058,0.057,0.052,0.048,0.047,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039
8/11/2014,0.088,0.079,0.076,0.068,0.062,0.058,0.057,0.052,0.048,0.047,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093
8/12/2014,0.079,0.076,0.068,0.062,0.058,0.057,0.052,0.048,0.047,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167
8/13/2014,0.076,0.068,0.062,0.058,0.057,0.052,0.048,0.047,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085
8/14/2014,0.068,0.062,0.058,0.057,0.052,0.048,0.047,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057
8/15/2014,0.062,0.058,0.057,0.052,0.048,0.047,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057
8/16/2014,0.058,0.057,0.052,0.048,0.047,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052
8/17/2014,0.057,0.052,0.048,0.047,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046
8/18/2014,0.052,0.048,0.047,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042
8/19/2014,0.048,0.047,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044
